category,brand,price,rating,capacity_people,features,pot_material,body_material,capacity
0.0,0.8,4480000.0,4.2,0.6000000000000001,0.3333333333333333,0.6666666666666666,0.72,0.002909884513958352
0.0,0.92,3334000.0,4.4,0.0,0.0,0.6666666666666666,0.48,0.0
0.0,0.92,3699000.0,4.3,0.6000000000000001,0.0,0.6666666666666666,0.48,0.000545603346367191
0.0,0.6,3275000.0,4.2,0.6000000000000001,0.0,0.6666666666666666,0.52,0.000545603346367191
0.0,0.92,5294000.0,4.0,0.6000000000000001,0.0,0.1111111111111111,0.88,0.000545603346367191
0.0,0.92,3676000.0,4.4,0.6000000000000001,0.0,0.6666666666666666,0.16,0.000545603346367191
0.0,0.92,2890000.0,4.3,0.2,0.0,0.16666666666666666,0.92,0.000545603346367191
0.0,0.92,4289000.0,4.4,1.0000000000000002,0.0,0.1111111111111111,0.6,0.0009548058561425843
0.0,0.92,2990000.0,4.3,0.2,0.0,0.16666666666666666,0.92,0.000181867782122397
0.0,0.92,3053000.0,4.2,0.6000000000000001,0.0,0.6666666666666666,1.0,0.000545603346367191
0.0,0.76,5750000.0,4.3,0.4000000000000001,0.0,0.6666666666666666,0.64,0.001091206692734382
0.0,0.92,3200000.0,4.3,0.2,0.0,0.6666666666666666,0.48,0.000181867782122397
0.0,0.92,3503300.0,4.3,1.0000000000000002,0.0,0.6666666666666666,1.0,0.0009548058561425843
0.0,0.92,4797000.0,3.8,0.2,0.0,0.6666666666666666,0.96,0.000545603346367191
0.0,0.84,7400000.0,4.2,1.0000000000000002,0.0,0.5555555555555556,0.08,0.002455215058652359
0.0,0.4,10200000.0,4.3,0.6000000000000001,0.0,0.4444444444444444,0.2,0.002000545603346367
0.0,0.92,5137400.0,3.0,0.6000000000000001,0.0,0.5555555555555556,0.16,0.000545603346367191
0.0,0.4,10000000.0,4.2,0.6000000000000001,0.0,0.38888888888888884,0.08,0.000545603346367191
0.0,1.0,4650000.0,4.3,0.2,1.0,0.05555555555555555,0.08,0.002000545603346367
0.0,1.0,6100000.0,3.8,0.6000000000000001,0.0,0.5555555555555556,0.08,0.000545603346367191
0.0,0.92,4099900.0,4.6,1.0000000000000002,0.0,0.6666666666666666,0.16,0.0009548058561425843
0.0,0.88,4600000.0,4.1,0.0,0.0,0.6666666666666666,0.08,0.000545603346367191
0.0,0.92,4100000.0,4.2,1.0000000000000002,0.0,0.6666666666666666,1.0,0.0009548058561425843
0.0,0.48,7500000.0,3.6,0.6000000000000001,0.0,0.6666666666666666,0.12,0.0006365372374283895
0.0,0.48,12641610.0,4.0,0.6000000000000001,0.0,0.8333333333333333,0.32,0.000545603346367191
0.0,0.76,5500000.0,4.3,0.6000000000000001,0.0,0.6666666666666666,0.08,0.0015458761480403745
0.0,0.92,4259000.0,4.3,1.0000000000000002,0.0,0.6666666666666666,0.08,0.000545603346367191
0.0,0.64,3600000.0,4.6,0.6000000000000001,0.0,0.5555555555555556,0.64,0.000545603346367191
0.0,0.56,6000000.0,4.4,0.4000000000000001,0.0,0.6666666666666666,0.0,0.000545603346367191
0.0,0.32,4850000.0,4.2,0.6000000000000001,0.0,0.2777777777777778,0.08,0.002455215058652359
0.0,0.52,16800000.0,4.1,0.4000000000000001,0.0,1.0,0.08,0.002000545603346367
0.0,1.0,11760000.0,3.0,0.6000000000000001,0.0,0.5555555555555556,0.12,0.000545603346367191
0.0,0.64,4600000.0,4.0,0.8,0.0,0.7222222222222222,0.64,0.000545603346367191
0.0,0.04,2550000.0,1.0,0.6000000000000001,0.0,0.6666666666666666,0.64,0.0
0.0,0.64,4600000.0,4.2,0.8,0.0,0.5555555555555556,0.64,0.000545603346367191
0.0,0.64,3600000.0,4.0,0.6000000000000001,0.0,0.5555555555555556,0.08,0.000545603346367191
0.0,0.56,10000000.0,2.0,0.6000000000000001,0.0,0.2777777777777778,0.08,0.000545603346367191
0.0,0.56,6500000.0,4.0,0.8,0.0,0.5555555555555556,0.64,0.000545603346367191
0.0,0.68,6845500.0,2.3,0.4000000000000001,0.0,0.6666666666666666,0.04,0.0015458761480403745
0.0,0.56,8000000.0,3.5,1.0000000000000002,0.0,0.6666666666666666,0.8,0.002455215058652359
0.0,0.24,5960000.0,3.7,0.6000000000000001,0.0,0.5555555555555556,0.28,0.002455215058652359
0.0,0.56,6050000.0,5.0,0.8,0.0,0.2222222222222222,0.76,0.000545603346367191
0.0,0.56,6370000.0,2.0,0.10000000000000003,0.0,0.3333333333333333,0.64,0.0003182686187141948
0.0,0.48,6120000.0,3.0,0.6000000000000001,0.0,0.7777777777777777,0.56,0.000181867782122397
0.0,0.52,6270000.0,4.7,0.6000000000000001,0.0,0.5555555555555556,0.08,0.000545603346367191
0.0,0.16,4100000.0,4.2,0.4000000000000001,0.6666666666666666,0.5,0.08,0.9999999999999999
0.0,0.68,6700000.0,1.0,1.0000000000000002,0.0,0.6666666666666666,0.64,0.0015458761480403745
0.0,0.72,14300000.0,4.2,0.6000000000000001,0.0,0.0,0.68,0.000181867782122397
0.0,0.28,7700000.0,4.2,0.8,0.0,0.6666666666666666,0.08,0.002000545603346367
0.0,0.44,7500000.0,3.0,0.6000000000000001,0.0,0.8888888888888888,0.88,0.002000545603346367
0.0,0.88,3459340.0,4.5,0.6000000000000001,0.0,0.6666666666666666,0.64,0.000545603346367191
0.0,0.08,8900000.0,4.3,0.8,0.0,0.611111111111111,0.44,0.0015458761480403745
0.0,0.96,8855000.0,4.2,0.6000000000000001,0.0,0.6666666666666666,0.08,0.001091206692734382
0.0,0.4,8900000.0,4.1,0.6000000000000001,0.0,0.9444444444444444,0.84,0.002000545603346367
0.0,0.2,19888000.0,3.5,0.0,0.0,0.2777777777777778,0.08,0.000181867782122397
0.0,0.36,7200000.0,5.0,0.4000000000000001,0.0,0.6666666666666666,0.08,0.0015458761480403745
0.0,0.0,5625000.0,3.0,0.6000000000000001,0.0,0.6666666666666666,0.4,0.000545603346367191
0.0,0.08,5625000.0,4.2,0.6000000000000001,0.0,0.6666666666666666,0.24,0.000545603346367191
0.0,0.56,5625000.0,3.0,0.6000000000000001,0.0,0.5555555555555556,0.36,0.002000545603346367
0.0,0.12,5625000.0,5.0,0.6000000000000001,0.0,0.5555555555555556,0.08,0.002000545603346367
